"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Vernonia scoparia",3676,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Vernonia sengana",108792,44,11,NA,"10","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia shabaensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia smithiana",7308484,260,65,NA,"61","6","LC or NT","LC or NT B1a+B2a","12.7","LC or NT","LC or NT"
"Vernonia solweziensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia spenceriana",107416,16,4,NA,"4","3","EN","EN B2a","75","EN","LC or NT"
"Vernonia stellulifera",3692511,332,86,NA,"72","10","LC or NT","LC or NT B1a+B2a","20.2","LC or NT","LC or NT"
"Vernonia stenocephala",2329921,136,38,NA,"31","4","LC or NT","LC or NT B1a+B2a","13","LC or NT","LC or NT"
"Vernonia stenostegia",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia stuhlmannii",196883,52,13,NA,"10","4","VU","VU B2a","53.8","VU","LC or NT"
"Vernonia subscandens",21330,32,8,NA,"7","1","VU","VU B2a","12.5","VU","LC or NT"
"Vernonia sunzuensis",84858,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia suprafastigiata",785042,40,11,NA,"10","1","VU","VU B2a","8.3","VU","LC or NT"
"Vernonia sutherlandii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia syringifolia",489087,44,11,NA,"11","6","LC or NT","LC or NT B1a+B2a","54.5","LC or NT","LC or NT"
"Vernonia tanganyikensis",48682,12,3,NA,"3","1","EN","EN B2a","33.3","EN","LC or NT"
"Vernonia tenoreana",8181178,220,56,NA,"46","1","LC or NT","LC or NT B1a+B2a","2.6","LC or NT","LC or NT"
"Vernonia theophrastifolia",3266889,60,15,NA,"15","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia thomsoniana",9138744,104,29,NA,"26","4","LC or NT","LC or NT B1a+B2a","19.4","LC or NT","LC or NT"
"Vernonia thulinii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia tigna",122116,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia timpermaniana",16931,24,6,NA,"3","1","EN","EN B2a","50","EN","VU"
"Vernonia tinctosetosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia titanophylla",2424564,112,28,NA,"27","3","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Vernonia tolypophora",266313,60,16,NA,"15","8","LC or NT","LC or NT B1a+B2a","55.6","LC or NT","LC or NT"
"Vernonia tricholoba",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia tuberifera",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia turbinata",1198952,52,13,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia turbinella",217591,24,6,NA,"6","1","VU","VU B2a","14.3","VU","LC or NT"
"Vernonia ugandensis",943917,64,16,NA,"15","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia uncinata",107210,40,10,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia undulata",6046928,108,28,NA,"27","3","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Vernonia unionis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia upembaensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia urticifolia",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Vernonia usafuensis",NA,8,2,NA,"2","2","LC or NT","LC or NT B2a","100","LC or NT",NA
"Vernonia usambarensis",12775,100,28,NA,"21","4","LC or NT","LC or NT B1a+B2a","23.5","LC or NT","LC or NT"
"Vernonia vallicola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia verdickii",92923,40,10,NA,"10","1","VU","VU B2a","14.3","VU","LC or NT"
"Vernonia verrucata",593556,124,31,NA,"29","1","LC or NT","LC or NT B1a+B2a","4.5","LC or NT","LC or NT"
"Vernonia violacea",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia violaceopapposa",23552,12,3,NA,"3","1","EN","EN B2a","33.3","EN","LC or NT"
"Vernonia vollesenii",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia wakefieldii",57071,24,6,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia wollastonii",1093490,72,19,NA,"15","3","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Vernonia zanzibarensis",150370,144,37,NA,"31","8","LC or NT","LC or NT B1a+B2a","31.6","LC or NT","LC or NT"
"Vernoniastrum aemulans",727664,136,34,NA,"32","4","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Vernoniastrum nestor",76767,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Veronica abyssinica",5388795,392,99,NA,"81","18","LC or NT","LC or NT B1a+B2a","30","LC or NT","LC or NT"
"Veronica anagallis-aquatica",22185569,116,30,NA,"27","4","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Veronica glandulosa",973965,52,13,NA,"11","4","LC or NT","LC or NT B1a+B2a","38.5","LC or NT","LC or NT"
"Veronica gunae",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Veronica mannii",2485,24,7,NA,"4","1","EN","EN B1a+B2a","77.3","EN","EN"
"Veronica simensis",38150,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Veyretella flabellata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Veyretella hetaerioides",211,12,6,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Vicia benghalensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vicia faba",45758,28,7,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Vicia hirsuta",28035,16,4,NA,"4","2","EN","EN B2a","50","EN","LC or NT"
"Vicia paucifolia",1514932,76,19,NA,"19","5","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Vicia sativa",1058629,120,30,NA,"29","3","LC or NT","LC or NT B1a+B2a","12.9","LC or NT","LC or NT"
